system,eps,seed,equal,seconds
acrobot,0.0,0,True,0.01345205307006836
acrobot,1e-12,0,False,0.01562356948852539
acrobot,1e-12,1,False,0.018054962158203125
acrobot,1e-12,2,False,0.015607833862304688
acrobot,1e-12,3,False,0.014898300170898438
acrobot,1e-12,4,False,0.014416694641113281
acrobot,1e-10,0,False,0.014296770095825195
acrobot,1e-10,1,False,0.015044450759887695
acrobot,1e-10,2,False,0.01625990867614746
acrobot,1e-10,3,False,0.015457868576049805
acrobot,1e-10,4,False,0.014667749404907227
acrobot,1e-08,0,False,0.014610052108764648
acrobot,1e-08,1,False,0.01555323600769043
acrobot,1e-08,2,False,0.01483154296875
acrobot,1e-08,3,False,0.014531373977661133
acrobot,1e-08,4,False,0.014154672622680664
acrobot,1e-06,0,False,0.014178752899169922
acrobot,1e-06,1,False,0.015740156173706055
acrobot,1e-06,2,False,0.014702558517456055
acrobot,1e-06,3,False,0.014243602752685547
acrobot,1e-06,4,False,0.014041900634765625
acrobot,1e-05,0,False,0.01416921615600586
acrobot,1e-05,1,False,0.01562786102294922
acrobot,1e-05,2,False,0.014776468276977539
acrobot,1e-05,3,False,0.014186859130859375
acrobot,1e-05,4,False,0.013967514038085938
acrobot,0.0001,0,False,0.017557621002197266
acrobot,0.0001,1,False,0.015503406524658203
acrobot,0.0001,2,False,0.014857292175292969
acrobot,0.0001,3,False,0.014313220977783203
acrobot,0.0001,4,False,0.014096260070800781
acrobot,0.001,0,False,0.013985633850097656
acrobot,0.001,1,False,0.015556812286376953
acrobot,0.001,2,False,0.01466059684753418
acrobot,0.001,3,False,0.01460409164428711
acrobot,0.001,4,False,0.024789094924926758
acrobot,0.01,0,False,0.014567852020263672
acrobot,0.01,1,False,0.015418052673339844
acrobot,0.01,2,False,0.01592111587524414
acrobot,0.01,3,False,0.053345680236816406
acrobot,0.01,4,False,0.03867483139038086
acrobot,0.1,0,False,0.021207571029663086
acrobot,0.1,1,False,0.018214941024780273
acrobot,0.1,2,False,0.01430058479309082
acrobot,0.1,3,False,0.015823841094970703
acrobot,0.1,4,False,0.013896942138671875
reacher,0.0,0,True,0.24086523056030273
reacher,1e-12,0,False,1.1566410064697266
reacher,1e-12,1,False,0.24635672569274902
reacher,1e-12,2,False,0.2676551342010498
reacher,1e-12,3,False,1.1693406105041504
reacher,1e-12,4,False,0.7806317806243896
reacher,1e-10,0,False,1.1370723247528076
reacher,1e-10,1,False,0.2508265972137451
reacher,1e-10,2,False,0.2605600357055664
reacher,1e-10,3,False,1.1223576068878174
reacher,1e-10,4,False,0.6982433795928955
reacher,1e-08,0,False,1.1272706985473633
reacher,1e-08,1,False,0.25017738342285156
reacher,1e-08,2,False,0.25844645500183105
reacher,1e-08,3,False,1.1070752143859863
reacher,1e-08,4,False,0.7395317554473877
reacher,1e-06,0,False,1.1014699935913086
reacher,1e-06,1,False,0.2554209232330322
reacher,1e-06,2,False,0.2720775604248047
reacher,1e-06,3,False,1.1185643672943115
reacher,1e-06,4,False,0.6785683631896973
reacher,1e-05,0,False,1.0999517440795898
reacher,1e-05,1,False,0.24217772483825684
reacher,1e-05,2,False,0.2503206729888916
reacher,1e-05,3,False,1.1023693084716797
reacher,1e-05,4,False,0.6952757835388184
reacher,0.0001,0,False,1.1102304458618164
reacher,0.0001,1,False,0.263214111328125
reacher,0.0001,2,False,0.24885177612304688
reacher,0.0001,3,False,1.117391586303711
reacher,0.0001,4,False,0.6703102588653564
reacher,0.001,0,False,1.0785775184631348
reacher,0.001,1,False,0.24942827224731445
reacher,0.001,2,False,0.25028061866760254
reacher,0.001,3,False,1.082843542098999
reacher,0.001,4,False,0.6708400249481201
reacher,0.01,0,False,1.0518670082092285
reacher,0.01,1,False,0.24274516105651855
reacher,0.01,2,False,0.24731135368347168
reacher,0.01,3,False,1.1487016677856445
reacher,0.01,4,False,0.6747231483459473
reacher,0.1,0,False,1.1623258590698242
reacher,0.1,1,False,0.2585873603820801
reacher,0.1,2,False,0.24655866622924805
reacher,0.1,3,False,1.05338716506958
reacher,0.1,4,False,0.6563677787780762
