arm,setting,seed,regime,noise,fault,system,category,n_generators,expected_broken,localised,detected,localisation_exact,localisation_jaccard
perturbed,0e+00,0,unpaired,0.0,acrobot_m2_1.3,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_l1_1.2,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_lc2_0.6,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_I2_1.5,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_g_9.81,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,reacher_l2_0.13,reacher,parameter,5,fk-x|fk-y,fk-x|fk-y,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,reacher_l1_0.09,reacher,parameter,5,fk-x|fk-y,fk-x|fk-y,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_nips_coriolis,acrobot,structural,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_torque_leak,acrobot,structural,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_euler,acrobot,numerical,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_dt_0.2,acrobot,numerical,3,energy,energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_obs_swap,acrobot,observation,3,unit-norm th1|unit-norm th2|energy,unit-norm th1|unit-norm th2|energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,acrobot_obs_unnormalised,acrobot,observation,3,unit-norm th1|energy,unit-norm th1|energy,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,reacher_dz_offset,reacher,observation,5,dz=0,dz=0,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,reacher_obs_swap,reacher,observation,5,unit-norm th1|unit-norm th2|fk-x|fk-y,unit-norm th1|unit-norm th2|fk-x|fk-y,True,True,1.0
perturbed,0e+00,0,unpaired,0.0,none_acrobot,acrobot,control,3,,,False,True,1.0
perturbed,0e+00,0,unpaired,0.0,none_reacher,reacher,control,5,,,False,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_m2_1.3,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_l1_1.2,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_lc2_0.6,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_I2_1.5,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_g_9.81,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,reacher_l2_0.13,reacher,parameter,5,fk-x|fk-y,fk-x|fk-y,True,True,1.0
perturbed,0e+00,0,paired,0.0,reacher_l1_0.09,reacher,parameter,5,fk-x|fk-y,fk-x|fk-y,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_nips_coriolis,acrobot,structural,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_torque_leak,acrobot,structural,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_euler,acrobot,numerical,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_dt_0.2,acrobot,numerical,3,energy,energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_obs_swap,acrobot,observation,3,unit-norm th1|unit-norm th2|energy,unit-norm th1|unit-norm th2|energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,acrobot_obs_unnormalised,acrobot,observation,3,unit-norm th1|energy,unit-norm th1|energy,True,True,1.0
perturbed,0e+00,0,paired,0.0,reacher_dz_offset,reacher,observation,5,dz=0,dz=0,True,True,1.0
perturbed,0e+00,0,paired,0.0,reacher_obs_swap,reacher,observation,5,unit-norm th1|unit-norm th2|fk-x|fk-y,unit-norm th1|unit-norm th2|fk-x|fk-y,True,True,1.0
perturbed,0e+00,0,paired,0.0,none_acrobot,acrobot,control,3,,,False,True,1.0
perturbed,0e+00,0,paired,0.0,none_reacher,reacher,control,5,,,False,True,1.0
perturbed,1e-12,0,unpaired,0.0,acrobot_m2_1.3,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,1e-12,0,unpaired,0.0,acrobot_l1_1.2,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,1e-12,0,unpaired,0.0,acrobot_lc2_0.6,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,1e-12,0,unpaired,0.0,acrobot_I2_1.5,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,1e-12,0,unpaired,0.0,acrobot_g_9.81,acrobot,parameter,3,energy,energy,True,True,1.0
perturbed,1e-12,0,unpaired,0.0,reacher_l2_0.13,reacher,parameter,5,fk-x|fk-y,fk-x|fk-y,True,True,1.0
perturbed,1e-12,0,unpaired,0.0,reacher_l1_0.09,reacher,parameter,5,fk-x|fk-y,fk-x|fk-y,True,True,1.0
