arm,setting,seed,regime,noise,n_faults,n_detected,n_localised_exact,mean_jaccard,n_controls,n_false_alarms,coeff_deviation,n_generators,dropped
perturbed,0e+00,0,unpaired,0.0,15,15,15,1.0,2,0,0.0,,
perturbed,0e+00,0,paired,0.0,15,15,15,1.0,2,0,0.0,,
perturbed,1e-12,0,unpaired,0.0,15,15,15,1.0,2,0,9.828455157959412e-13,,
perturbed,1e-12,0,paired,0.0,15,15,15,1.0,2,0,9.828455157959412e-13,,
perturbed,1e-12,1,unpaired,0.0,15,15,15,1.0,2,0,9.828471771415569e-13,,
perturbed,1e-12,1,paired,0.0,15,15,15,1.0,2,0,9.828471771415569e-13,,
perturbed,1e-12,2,unpaired,0.0,15,15,15,1.0,2,0,9.828488847612827e-13,,
perturbed,1e-12,2,paired,0.0,15,15,15,1.0,2,0,9.828488847612827e-13,,
perturbed,1e-12,3,unpaired,0.0,15,15,15,1.0,2,0,9.828455157959412e-13,,
perturbed,1e-12,3,paired,0.0,15,15,15,1.0,2,0,9.828455157959412e-13,,
perturbed,1e-12,4,unpaired,0.0,15,15,15,1.0,2,0,9.828455157959412e-13,,
perturbed,1e-12,4,paired,0.0,15,15,15,1.0,2,0,9.828455157959412e-13,,
perturbed,1e-10,0,unpaired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,0,paired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,1,unpaired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,1,paired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,2,unpaired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,2,paired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,3,unpaired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,3,paired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,4,unpaired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-10,4,paired,0.0,15,15,15,1.0,2,0,9.828322148348986e-11,,
perturbed,1e-08,0,unpaired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,0,paired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,1,unpaired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,1,paired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,2,unpaired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,2,paired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,3,unpaired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,3,paired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,4,unpaired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-08,4,paired,0.0,15,15,15,1.0,2,0,9.828321677709824e-09,,
perturbed,1e-06,0,unpaired,0.0,15,15,15,1.0,2,0,9.82832348759976e-07,,
perturbed,1e-06,0,paired,0.0,15,15,15,1.0,2,0,9.82832348759976e-07,,
perturbed,1e-06,1,unpaired,0.0,15,15,15,1.0,2,0,9.82832348759976e-07,,
perturbed,1e-06,1,paired,0.0,15,15,15,1.0,2,0,9.82832348759976e-07,,
perturbed,1e-06,2,unpaired,0.0,15,15,15,1.0,2,0,9.82832348759976e-07,,
perturbed,1e-06,2,paired,0.0,15,15,15,1.0,2,0,9.82832348759976e-07,,
