quadrature,b1_spec,b2_spec,dt,b1_found,b2_found,b1_rel_error,b2_rel_error,s_min,s_next,gap_ratio,decisive,fit_residual
trapezoid,0.1,0.05,0.001,0.09999911635430764,0.04999923946681373,8.836456923677627e-06,1.5210663725506723e-05,4.401620155201683e-10,2.6317820067349714e-06,0.00016724866056297722,True,1.4756361917457973e-05
trapezoid,0.1,0.05,0.002,0.1000021143578951,0.04999958349581449,2.1143578950999498e-05,8.330083710317293e-06,3.893813339234626e-09,2.211497442865556e-05,0.00017607134712257241,True,2.7708629727261445e-05
trapezoid,0.1,0.05,0.005,0.1000054386615188,0.0499982255901864,5.438661518794574e-05,3.548819627205435e-05,6.443625406983874e-08,3.0258063183453885e-05,0.002129556464971447,True,5.2697212991640215e-05
trapezoid,0.1,0.05,0.01,0.10001138151778438,0.049995409182219036,0.00011381517784375683,9.18163556193341e-05,3.107131453837395e-07,1.884756716994803e-05,0.01648558366085379,True,0.0003556376835480917
trapezoid,0.1,0.05,0.02,0.09999939829134956,0.049986538291429954,6.017086504467306e-06,0.0002692341714009838,1.164141872868622e-06,1.715089761141494e-05,0.06787644001173539,True,0.0031934404971141173
trapezoid,0.3,0.3,0.001,0.3000012854503256,0.2999980441635904,4.284834418758858e-06,6.519454698687237e-06,6.536885776487065e-10,2.8852485841979257e-06,0.00022656230774320828,True,1.862123920705144e-05
trapezoid,0.3,0.3,0.002,0.30000471832723674,0.299993521709225,1.5727757455841207e-05,2.1594302583305414e-05,8.06780513260332e-09,2.1738013309299454e-05,0.00037113810806031376,True,4.2905577359107534e-05
trapezoid,0.3,0.3,0.005,0.3000167363879414,0.29999275450903906,5.5787959804728025e-05,2.4151636536425457e-05,1.1994130216669162e-07,2.9592834862816205e-05,0.004053052123012367,True,0.00010078044986012872
trapezoid,0.3,0.3,0.01,0.30004105211764565,0.2999994301375049,0.00013684039215218954,1.8995416502705829e-06,5.005525406629835e-07,1.8738583478949986e-05,0.02671240017823545,True,0.0005828123243016226
trapezoid,0.3,0.3,0.02,0.3001183435669228,0.30004101264708455,0.00039447855640935747,0.00013670882361519848,2.2118855571301953e-06,1.7588845500968736e-05,0.1257550165534385,False,0.009204765879508898
trapezoid,0.02,0.2,0.001,0.020000496894111753,0.1999987326509666,2.484470558762608e-05,6.3367451670626185e-06,4.97515106159005e-10,2.726097700391621e-06,0.00018250083483344482,True,5.094896895050443e-06
trapezoid,0.02,0.2,0.002,0.020003733172178503,0.1999966514521996,0.00018665860892514569,1.6742739002012508e-05,5.1342427824396565e-09,2.315846776639747e-05,0.0002217004524750706,True,3.412781644480402e-05
trapezoid,0.02,0.2,0.005,0.02000858231436955,0.19999597836137925,0.0004291157184775629,2.010819310380163e-05,8.397538836306375e-08,3.2752043135967096e-05,0.0025639740401674376,True,3.092143540819544e-05
