fault,system,category,noise,expected_broken,ks_resid_localised,ks_resid_jaccard,ks_resid_exact,mmd_resid_p,mmd_resid_detect,disc_resid_auc,disc_resid_p,disc_resid_detect,raw_mmd_p,raw_mmd_detect,raw_ks_stat,raw_ks_p,raw_ks_detect,raw_disc_auc,raw_disc_p,raw_disc_detect,screen_localised,screen_jaccard,screen_exact,ks_resid_p_unit-norm_th1,ks_resid_p_unit-norm_th2,ks_resid_p_energy,screen_p_unit-norm_th1,screen_p_unit-norm_th2,screen_p_energy,ks_resid_p_dz=0,ks_resid_p_fk-x,ks_resid_p_fk-y,screen_p_dz=0,screen_p_fk-x,screen_p_fk-y
acrobot_m2_1.3,acrobot,parameter,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.8125,0.010065888985991478,False,0.0143985601439856,False,0.0595,0.00966441769743528,True,0.9628298946411724,0.0,True,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_l1_1.2,acrobot,parameter,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.7604166666666666,0.028689369559288025,False,0.9666033396660334,False,0.03249999999999997,1.0,False,0.5104438851870329,0.221506729722023,False,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_lc2_0.6,acrobot,parameter,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.9270833333333334,0.0003572279238142073,True,0.023497650234976502,False,0.0625,0.004633870137725571,True,0.935633190253444,0.0,True,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_I2_1.5,acrobot,parameter,0.0,energy,energy,1.0,True,0.0009995002498750624,True,0.6666666666666666,0.11898864805698395,False,9.999000099990002e-05,True,0.09699999999999998,7.296493497646918e-08,True,0.9705070609678391,0.0,True,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_g_9.81,acrobot,parameter,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.7708333333333334,0.023672303184866905,False,0.9999000099990001,False,0.018500000000000016,1.0,False,0.5064737887192456,0.317219078540802,False,energy,1.0,True,0.6852748117522083,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
reacher_l2_0.13,reacher,parameter,0.0,fk-x|fk-y,fk-x|fk-y,1.0,True,0.0004997501249375312,True,1.0,0.00012314696505200118,True,0.8756124387561244,False,0.025000000000000022,1.0,False,0.5038540189971894,0.38856804370880127,False,fk-x|fk-y,1.0,True,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,1.0,1.6278285752532535e-11,1.6278285752532535e-11
reacher_l1_0.09,reacher,parameter,0.0,fk-x|fk-y,fk-x|fk-y,1.0,True,0.0004997501249375312,True,1.0,0.00012314696505200118,True,0.9623037696230377,False,0.024999999999999994,1.0,False,0.5064231591841977,0.3185453414916992,False,fk-x|fk-y,1.0,True,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,1.0,1.6278285752532535e-11,1.6278285752532535e-11
acrobot_nips_coriolis,acrobot,structural,0.0,energy,energy,1.0,True,0.07496251874062969,False,0.6458333333333334,0.15269508957862854,False,0.0018998100189981002,True,0.067,0.0014375772561583968,True,0.7983234214698866,0.0,True,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_torque_leak,acrobot,structural,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.84375,0.004778915550559759,True,0.9984001599840016,False,0.026499999999999968,1.0,False,0.5084347570523238,0.267782598733902,False,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_euler,acrobot,numerical,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.90625,0.0007620861870236695,True,0.9837016298370163,False,0.026000000000000023,1.0,False,0.5115490908911292,0.1981360763311386,False,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_dt_0.2,acrobot,numerical,0.0,energy,energy,1.0,True,0.0004997501249375312,True,0.7083333333333334,0.06746844202280045,False,1.0,False,0.01470588235294118,1.0,False,0.5026656004264961,0.47161224484443665,False,energy,1.0,True,1.0,1.0,0.0,1.0,1.0,9.766971451519521e-12,,,,,,
acrobot_obs_swap,acrobot,observation,0.0,unit-norm th1|unit-norm th2|energy,unit-norm th1|unit-norm th2|energy,1.0,True,0.0004997501249375312,True,0.8333333333333334,0.006872644182294607,True,9.999000099990002e-05,True,0.8575,0.0,True,0.9994517191814316,0.0,True,unit-norm th1|unit-norm th2|energy,1.0,True,0.0,0.0,0.0,9.7400999879794e-12,9.691902259911905e-12,9.766971451519521e-12,,,,,,
acrobot_obs_unnormalised,acrobot,observation,0.0,unit-norm th1|energy,unit-norm th1|energy,1.0,True,0.0004997501249375312,True,1.0,7.938398084661458e-06,True,9.999000099990002e-05,True,0.35950000000000004,1.8724922088847798e-115,True,0.9999987651332916,0.0,True,unit-norm th1|energy,1.0,True,0.0,1.0,0.0,9.7400999879794e-12,1.0,9.766971451519521e-12,,,,,,
reacher_dz_offset,reacher,observation,0.0,dz=0,,0.0,False,0.0004997501249375312,True,0.9895833333333334,1.5876796169322915e-05,True,9.999000099990002e-05,True,0.024999999999999994,1.0,False,1.0,0.0,True,dz=0,1.0,True,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,5.500629042808212e-15,1.0,1.0
reacher_obs_swap,reacher,observation,0.0,unit-norm th1|unit-norm th2|fk-x|fk-y,unit-norm th1|unit-norm th2|fk-x|fk-y,1.0,True,0.0004997501249375312,True,1.0,7.647833263035864e-05,True,9.999000099990002e-05,True,0.03200000000000003,1.0,False,0.9949530997624116,0.0,True,unit-norm th1|unit-norm th2|fk-x|fk-y,1.0,True,0.0,0.0,,1.60643433353051e-11,1.6002431337727596e-11,,1.0,0.0,0.0,1.0,1.6278285752532535e-11,1.6278285752532535e-11
none_acrobot,acrobot,control,0.0,,,1.0,True,1.0,False,0.3229166666666667,0.9116795659065247,False,0.9999000099990001,False,0.018500000000000016,1.0,False,0.5063848783162346,0.31954964995384216,False,,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
none_reacher,reacher,control,0.0,,,1.0,True,1.0,False,0.25,0.9707304239273071,False,0.9679032096790321,False,0.024999999999999994,1.0,False,0.5056087645899502,0.34018850326538086,False,,1.0,True,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
