noise,regime,lag,gap,fault,system,category,attributable,verdict,s_min,s_next,gap_ratio,expected_param,expected_value,top_param,top_value,top_residual,runner_up_residual,attribution_correct,relative_error,seconds
0.0,unpaired,50,0.1,acrobot_m2_1.3,acrobot,parameter,True,parameter fault,2.07729113192137e-11,0.00016726837782436873,1.241891120689004e-07,m2,1.3,m2,1.299999863724844,2.4908962236491446e-08,0.015679113106957156,True,1.0482704311425113e-07,0.3698291778564453
0.0,unpaired,50,0.1,acrobot_l1_1.2,acrobot,parameter,True,parameter fault,1.341299542791607e-11,8.001555885830977e-05,1.6762984123709718e-07,l1,1.2,l1,1.2000000300677995,7.198574531916497e-09,0.009407695882276156,True,2.5056499652897912e-08,0.31673669815063477
0.0,unpaired,50,0.1,acrobot_lc2_0.6,acrobot,parameter,True,parameter fault,1.3947566072436172e-11,0.00012760470372303245,1.0930291490437165e-07,lc2,0.6,lc2,0.5999999866274367,1.1509103444130336e-08,0.013570247153257147,True,2.228760546489165e-08,0.3308985233306885
0.0,unpaired,50,0.1,acrobot_I2_1.5,acrobot,parameter,True,parameter fault,7.220135421690964e-12,9.004555603685539e-05,8.018313995124627e-08,I2,1.5,I2,1.499999985684895,8.127814781201112e-09,0.019697262796174744,True,9.54340340086901e-09,0.355724573135376
0.0,unpaired,50,0.1,acrobot_g_9.81,acrobot,parameter,True,parameter fault,9.604972518084912e-12,7.430638437228582e-05,1.2926173974449624e-07,g,9.81,g,9.810000078340067,1.6748263307322324e-08,7.71809754750103e-05,True,7.985735665444771e-09,0.3177938461303711
0.0,unpaired,50,0.1,reacher_l2_0.13,reacher,parameter,True,parameter fault,3.975392436817436e-16,0.08295653507412329,4.792138959595341e-15,ell2,1.3,ell2,1.2999999999999987,7.972560790782572e-16,0.07532489193645729,True,1.0248212535001444e-15,0.10832381248474121
0.0,unpaired,50,0.1,reacher_l1_0.09,reacher,parameter,True,parameter fault,3.45866422245715e-16,0.06553150966939657,5.277864404323891e-15,ell1,0.9,ell1,0.8999999999999385,2.5003982376068803e-14,0.035702902674724556,True,6.834039507137075e-14,0.1314687728881836
0.0,unpaired,50,0.1,acrobot_nips_coriolis,acrobot,structural,True,not explicable as a parameter fault,9.177429811272456e-05,0.00016568165379700128,0.5539194956682983,,,,,,,False,nan,0.10537266731262207
0.0,unpaired,50,0.1,acrobot_torque_leak,acrobot,structural,True,not explicable as a parameter fault,8.703574978372095e-06,7.350353466843365e-05,0.11841029166329162,,,,,,,False,nan,0.11398863792419434
0.0,unpaired,50,0.1,acrobot_euler,acrobot,numerical,True,not explicable as a parameter fault,7.556637759494444e-05,0.00020563997086967613,0.36746930703872965,,,,,,,False,nan,0.11584877967834473
0.0,unpaired,50,0.1,acrobot_dt_0.2,acrobot,numerical,True,not explicable as a parameter fault,1.0035689389683888,1.168693845853382,0.8587098687386184,,,,,,,False,nan,0.11248922348022461
0.0,unpaired,50,0.1,acrobot_obs_swap,acrobot,observation,True,not explicable as a parameter fault,3.30164897178987e-16,3.4400239154684346e-16,0.9597750053258796,,,,,,,False,nan,0.11198186874389648
0.0,unpaired,50,0.1,acrobot_obs_unnormalised,acrobot,observation,True,not explicable as a parameter fault,9.5714299262979e-12,7.420016787186078e-05,1.2899472064304736e-07,,,m1,0.9673845138226687,0.004483308452692534,0.004554156036585589,False,nan,0.2549426555633545
0.0,unpaired,50,0.1,reacher_dz_offset,reacher,observation,False,consistent with spec,2.231133487459237e-16,0.06271133406502695,3.557783486388152e-15,,,ell1,1.0,5.662655522028788e-16,3.8707338878716037e-14,False,nan,0.06598091125488281
0.0,unpaired,50,0.1,reacher_obs_swap,reacher,observation,True,not explicable as a parameter fault,2.720510378570439e-16,2.903319329131636e-16,0.9370345009152423,,,,,,,False,nan,0.03156328201293945
0.0,unpaired,50,0.1,none_acrobot,acrobot,control,False,consistent with spec,9.571411297109394e-12,7.42001678718347e-05,1.289944695764302e-07,,,lc1,0.5000000391701686,1.3267574445452973e-08,1.3268406756500086e-08,False,nan,0.24731731414794922
0.0,unpaired,50,0.1,none_reacher,reacher,control,False,consistent with spec,2.231133487459237e-16,0.06271133406502695,3.557783486388152e-15,,,ell1,1.0,5.662655522028788e-16,3.8707338878716037e-14,False,nan,0.06492471694946289
0.0,paired,50,0.1,acrobot_m2_1.3,acrobot,parameter,True,parameter fault,1.7472883344075956e-11,0.0003196330447695757,5.466544723707214e-08,m2,1.3,m2,1.2999997854356415,3.359292695920995e-08,0.01567911156044231,True,1.650495065405813e-07,0.24809670448303223
0.0,paired,50,0.1,acrobot_l1_1.2,acrobot,parameter,True,parameter fault,1.2666602622509793e-11,0.00020227416901398915,6.262095987962644e-08,l1,1.2,l1,1.20000008189696,1.8433673780018973e-08,0.00940769646022242,True,6.824746675201018e-08,0.2410435676574707
0.0,paired,50,0.1,acrobot_lc2_0.6,acrobot,parameter,True,parameter fault,1.2578653542199194e-11,0.00025891148476033145,4.8582833449211306e-08,lc2,0.6,lc2,0.599999968734393,3.0126912105251984e-08,0.013570244157243108,True,5.2109344987153846e-08,0.335568904876709
0.0,paired,50,0.1,acrobot_I2_1.5,acrobot,parameter,True,parameter fault,6.362526581811196e-12,0.00019196093204064895,3.314490357060722e-08,I2,1.5,I2,1.499999965210601,1.5622186067787933e-08,0.01969726228837691,True,2.3192932611474742e-08,0.2850334644317627
0.0,paired,50,0.1,acrobot_g_9.81,acrobot,parameter,True,parameter fault,1.0007742706735548e-11,0.0002360086670770506,4.2404132147690514e-08,g,9.81,g,9.810000133186074,2.441842346471578e-08,7.718101347301289e-05,True,1.3576562051504125e-08,0.3399851322174072
0.0,paired,50,0.1,reacher_l2_0.13,reacher,parameter,True,parameter fault,2.21223829998426e-16,0.08305393773131596,2.6636163924472457e-15,ell2,1.3,ell2,1.2999999999999985,7.984667951578003e-16,0.07532489193645725,True,1.1956247957501685e-15,0.12470436096191406
0.0,paired,50,0.1,reacher_l1_0.09,reacher,parameter,True,parameter fault,9.619891775203984e-16,0.06555588143810896,1.4674338235061463e-14,ell1,0.9,ell1,0.8999999999999388,2.488252111614636e-14,0.035702902674724805,True,6.797032072982902e-14,0.12412905693054199
0.0,paired,50,0.1,acrobot_nips_coriolis,acrobot,structural,True,not explicable as a parameter fault,0.00018958863711034894,0.0002667585418483918,0.7107125260045047,,,,,,,False,nan,0.15644359588623047
0.0,paired,50,0.1,acrobot_torque_leak,acrobot,structural,True,not explicable as a parameter fault,9.411850276822716e-06,0.00024475353629117624,0.03845439955411189,,,m1,1.019839159666311,0.017106746823171624,0.01711043522600494,False,nan,0.36806464195251465
0.0,paired,50,0.1,acrobot_euler,acrobot,numerical,True,not explicable as a parameter fault,0.00015222980759093454,0.00028553835739623105,0.5331326024954709,,,,,,,False,nan,0.1431283950805664
0.0,paired,50,0.1,acrobot_dt_0.2,acrobot,numerical,True,not explicable as a parameter fault,0.9507489600717347,1.2671688123725489,0.7502938446627533,,,,,,,False,nan,0.1411421298980713
0.0,paired,50,0.1,acrobot_obs_swap,acrobot,observation,True,not explicable as a parameter fault,3.5472355568062103e-16,3.8158715452374916e-16,0.9296003585952571,,,,,,,False,nan,0.14356017112731934
