sigma,lag,n_correct,n_faults,probe_fault,probe_gap_ratio,probe_fit_residual
0.0,1,7,7,acrobot_m2_1.3,8.759896084591402e-08,3.599337776152494e-08
0.0,10,7,7,acrobot_m2_1.3,8.863323268194706e-08,3.767998792823599e-08
0.0,50,7,7,acrobot_m2_1.3,5.466544723707214e-08,3.359292695920995e-08
0.0,100,7,7,acrobot_m2_1.3,1.7240269929418045e-07,3.2514787753760874e-08
1e-08,1,6,7,acrobot_m2_1.3,0.006437662308570714,1.594058891434008e-05
1e-08,10,6,7,acrobot_m2_1.3,0.0006834896897715276,8.54135545674211e-06
1e-08,50,7,7,acrobot_m2_1.3,0.0002970518343411512,9.088450553344731e-06
1e-08,100,6,7,acrobot_m2_1.3,0.0013003344686831147,1.5365821286601392e-05
1e-07,1,2,7,acrobot_m2_1.3,0.06433855528379862,0.0014275445166145153
1e-07,10,6,7,acrobot_m2_1.3,0.006835155715600888,7.472916465945862e-05
1e-07,50,6,7,acrobot_m2_1.3,0.002970684116750545,8.857434754204242e-05
1e-07,100,6,7,acrobot_m2_1.3,0.013003838826890518,0.0001531844809755327
1e-06,1,2,7,acrobot_m2_1.3,0.6039942589004873,nan
1e-06,10,2,7,acrobot_m2_1.3,0.06833318500447355,0.001257717203777598
1e-06,50,4,7,acrobot_m2_1.3,0.029719313936756392,0.0007723433000600421
1e-06,100,2,7,acrobot_m2_1.3,0.12999888918497293,nan
1e-05,1,2,7,acrobot_m2_1.3,0.7524326080408485,nan
1e-05,10,2,7,acrobot_m2_1.3,0.6380563703783021,nan
1e-05,50,2,7,acrobot_m2_1.3,0.2928010681245633,nan
1e-05,100,2,7,acrobot_m2_1.3,0.7910796864418894,nan
0.0001,1,2,7,acrobot_m2_1.3,0.721951898221558,nan
0.0001,10,2,7,acrobot_m2_1.3,0.785614381627996,nan
0.0001,50,2,7,acrobot_m2_1.3,0.7194907558885749,nan
0.0001,100,2,7,acrobot_m2_1.3,0.9020321382203417,nan
