dt,rel_energy_drift,tol,M,N,raw_nullspace,after_projection,removed_projection,after_groebner,removed_groebner,energy_alignment_raw,energy_alignment_after_groebner,energy_residual,note
0.2,0.017346291207960964,1e-10,84,201,14,13,1,0,14,0.633026301045819,0.0,nan,"energy below tolerance, invisible"
0.2,0.017346291207960964,1e-06,84,201,14,13,1,0,14,0.633026301045819,0.0,nan,"energy below tolerance, invisible"
0.2,0.017346291207960964,0.0001,84,201,15,14,1,1,14,0.7132174830831258,0.4991384497628428,0.6207547228464445,spurious directions admitted
0.2,0.017346291207960964,0.001,84,201,21,20,1,7,14,0.8586034361946108,0.6570465853346675,nan,spurious directions admitted
0.05,2.1697700516891584e-05,1e-10,84,801,14,13,1,0,14,0.6330263010460876,0.0,nan,"energy below tolerance, invisible"
0.05,2.1697700516891584e-05,1e-06,84,801,14,13,1,0,14,0.6330263010460876,0.0,nan,"energy below tolerance, invisible"
0.05,2.1697700516891584e-05,0.0001,84,801,16,15,1,2,14,0.9060927391784455,0.8256051115835762,nan,spurious directions admitted
0.05,2.1697700516891584e-05,0.001,84,801,23,22,1,9,14,0.9082543521236706,0.8326318871804734,nan,spurious directions admitted
0.01,8.921925497611608e-09,1e-10,84,4001,14,13,1,1,13,0.6330263006167663,0.8069761233966923,4.470676717138185e-06,spurious directions admitted
0.01,8.921925497611608e-09,1e-06,84,4001,15,14,1,1,14,0.9027240879292356,0.8069763754673667,1.5973263527398992e-07,energy isolated exactly
0.01,8.921925497611608e-09,0.0001,84,4001,16,15,1,2,14,0.9060771052941542,0.8256350041547881,nan,spurious directions admitted
0.01,8.921925497611608e-09,0.001,84,4001,23,22,1,9,14,0.9082541509860699,0.8326237437844316,nan,spurious directions admitted
0.002,9.347455876595996e-12,1e-10,84,20001,15,14,1,1,14,0.902724093044974,0.806976409504901,4.923159694407236e-10,energy isolated exactly
0.002,9.347455876595996e-12,1e-06,84,20001,15,14,1,1,14,0.902724093044974,0.806976409504901,4.923159694407236e-10,energy isolated exactly
0.002,9.347455876595996e-12,0.0001,84,20001,16,15,1,2,14,0.9060756963202123,0.8256352979844521,nan,spurious directions admitted
0.002,9.347455876595996e-12,0.001,84,20001,23,22,1,9,14,0.908254168314681,0.8326219431472324,nan,spurious directions admitted
