bounded,drift_T40,drift_T400,drift_T4000,dt,experiment,first_half_drift,growth_factor,integrator_class,max_rel_drift,method,order,second_half_drift,secular_slope
True,,,,0.05,,0.050811559739128445,,symplectic,0.06901111281254443,symplectic_euler,1,0.06901111281254443,0.0007676447903250984
True,,,,0.01,,0.009574145615342521,,symplectic,0.011904638132450903,symplectic_euler,1,0.011904638132450903,0.00011688666918236034
True,,,,0.002,,0.0018921208155701476,,symplectic,0.0023076501074925098,symplectic_euler,1,0.0023076501074925098,2.179987452767337e-05
True,,,,0.05,,0.0031238772628408005,,symplectic,0.0036553582986162477,verlet,2,0.0036553582986162477,-3.595413188156943e-05
True,,,,0.01,,0.00010472374509415508,,symplectic,0.0001119123553663541,verlet,2,0.0001119123553663541,-2.639604227033471e-07
True,,,,0.002,,4.030978058465364e-06,,symplectic,4.18871951930162e-06,verlet,2,4.18871951930162e-06,-1.037051870451274e-09
True,,,,0.05,,1.076945393119414e-05,,non-symplectic,2.1697700516891584e-05,rk4,4,2.1697700516891584e-05,-5.129644258847042e-07
True,,,,0.01,,5.470479557818975e-09,,non-symplectic,8.921925497611608e-09,rk4,4,8.921925497611608e-09,-1.6550662812310037e-10
True,,,,0.002,,9.347455876595996e-12,,non-symplectic,9.347455876595996e-12,rk4,4,8.898678660432015e-12,-5.2624999535038305e-14
True,,,,0.05,,5.125904798477122,,non-symplectic,9.876685067922681,euler,1,9.876685067922681,0.23067921143469536
True,,,,0.01,,0.5614292266014761,,non-symplectic,1.563878211435023,euler,1,1.563878211435023,0.038475984657742816
True,,,,0.002,,0.09162780134119422,,non-symplectic,0.19366388406049434,euler,1,0.19366388406049434,0.004843422909255804
,0.011904638132450903,0.08795474308030791,1.6078587363371437,0.01,horizon_sweep,,135.0615380701304,symplectic,,symplectic_euler,,,
,0.0001119123553663541,0.00021149265074535794,0.0012757448088103584,0.01,horizon_sweep,,11.39949922985809,symplectic,,verlet,,,
,8.921925497611608e-09,6.761593249654812e-08,6.646274096258358e-07,0.01,horizon_sweep,,74.49371885068486,non-symplectic,,rk4,,,
,1.563878211435023,18.692346121080817,30.390068537303886,0.01,horizon_sweep,,19.432503320970113,non-symplectic,,euler,,,
