system,noise,floor,unit,n_pairs,family_false_alarms,family_rate,wilson_lo,wilson_hi,rate_unit-norm_th1,rate_unit-norm_th2,rate_energy,rate_dz=0,rate_fk-x,rate_fk-y
acrobot,0.0,1e-08,block,500,0,0.0,0.0,0.007624618530903363,0.0,0.0,0.0,,,
acrobot,0.0,1e-08,trajectory,500,0,0.0,0.0,0.007624618530903363,0.0,0.0,0.0,,,
acrobot,0.0,0.0,block,500,51,0.102,0.07843397139617729,0.1316352249544218,0.01,0.006,0.088,,,
acrobot,0.0,0.0,trajectory,500,1,0.002,0.000353127309584542,0.011240992747195207,0.0,0.0,0.002,,,
acrobot,0.001,1e-08,block,500,13,0.026,0.0152562373229252,0.04397190104437119,0.002,0.006,0.018,,,
acrobot,0.001,1e-08,trajectory,500,7,0.014,0.006797703071787358,0.02861342614025071,0.012,0.002,0.0,,,
acrobot,0.001,0.0,block,500,13,0.026,0.0152562373229252,0.04397190104437119,0.002,0.006,0.018,,,
acrobot,0.001,0.0,trajectory,500,7,0.014,0.006797703071787358,0.02861342614025071,0.012,0.002,0.0,,,
reacher,0.0,1e-08,block,500,0,0.0,0.0,0.007624618530903363,0.0,0.0,,0.0,0.0,0.0
reacher,0.0,1e-08,trajectory,500,0,0.0,0.0,0.007624618530903363,0.0,0.0,,0.0,0.0,0.0
reacher,0.0,0.0,block,500,4,0.008,0.0031152647975077885,0.020387359836901122,0.0,0.002,,0.0,0.002,0.004
reacher,0.0,0.0,trajectory,500,0,0.0,0.0,0.007624618530903363,0.0,0.0,,0.0,0.0,0.0
reacher,0.001,1e-08,block,500,3,0.006,0.002042559297638913,0.017490563810893606,0.002,0.002,,0.0,0.002,0.0
reacher,0.001,1e-08,trajectory,500,2,0.004,0.0010976075412372681,0.014466014041418871,0.002,0.0,,0.0,0.002,0.0
reacher,0.001,0.0,block,500,3,0.006,0.002042559297638913,0.017490563810893606,0.002,0.002,,0.0,0.002,0.0
reacher,0.001,0.0,trajectory,500,2,0.004,0.0010976075412372681,0.014466014041418871,0.002,0.0,,0.0,0.002,0.0
