alpha,noise,screen_unit,n_faults,n_controls,screen_tpr,screen_fpr,screen_fpr_lo,screen_fpr_hi,screen_censored,mmd_tpr,mmd_fpr,mmd_fpr_lo,mmd_fpr_hi,mmd_censored,ks_tpr,ks_fpr,ks_fpr_lo,ks_fpr_hi,ks_censored,discriminator_tpr,discriminator_fpr,discriminator_fpr_lo,discriminator_fpr_hi,discriminator_censored
1e-12,0.0,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.0,0.0,0.0,0.6576280471103807,True,0.13333333333333333,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
1e-09,0.0,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.0,0.0,0.0,0.6576280471103807,True,0.13333333333333333,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
1e-06,0.0,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.0,0.0,0.0,0.6576280471103807,True,0.2,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.0001,0.0,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.3333333333333333,0.0,0.0,0.6576280471103807,False,0.2,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.001,0.0,trajectory,15,2,1.0,0.0,0.0,0.6576280471103807,False,0.3333333333333333,0.0,0.0,0.6576280471103807,False,0.2,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.01,0.0,trajectory,15,2,1.0,0.0,0.0,0.6576280471103807,False,0.4,0.0,0.0,0.6576280471103807,False,0.4,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.05,0.0,trajectory,15,2,1.0,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False,0.4,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.1,0.0,trajectory,15,2,1.0,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False,0.4,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.5,0.0,trajectory,15,2,1.0,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False,0.4,0.0,0.0,0.6576280471103807,False,1.0,1.0,0.3423719528896193,1.0,False
1.0,0.0,trajectory,15,2,1.0,0.0,0.0,0.6576280471103807,False,0.9333333333333333,1.0,0.3423719528896193,1.0,False,0.4,0.0,0.0,0.6576280471103807,False,1.0,1.0,0.3423719528896193,1.0,False
1e-12,0.001,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.0,0.0,0.0,0.6576280471103807,True,0.2,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
1e-09,0.001,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.0,0.0,0.0,0.6576280471103807,True,0.2,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
1e-06,0.001,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.0,0.0,0.0,0.6576280471103807,True,0.26666666666666666,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.0001,0.001,trajectory,15,2,0.0,0.0,0.0,0.6576280471103807,True,0.3333333333333333,0.0,0.0,0.6576280471103807,False,0.26666666666666666,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.001,0.001,trajectory,15,2,0.8,0.0,0.0,0.6576280471103807,False,0.3333333333333333,0.0,0.0,0.6576280471103807,False,0.26666666666666666,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.01,0.001,trajectory,15,2,0.8,0.0,0.0,0.6576280471103807,False,0.4,0.0,0.0,0.6576280471103807,False,0.4666666666666667,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.05,0.001,trajectory,15,2,0.8,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False,0.4666666666666667,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False
0.1,0.001,trajectory,15,2,0.8,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False,0.4666666666666667,0.0,0.0,0.6576280471103807,False,0.6666666666666666,0.5,0.09452865480086611,0.905471345199134,False
0.5,0.001,trajectory,15,2,0.8666666666666667,0.0,0.0,0.6576280471103807,False,0.5333333333333333,0.0,0.0,0.6576280471103807,False,0.4666666666666667,0.0,0.0,0.6576280471103807,False,1.0,1.0,0.3423719528896193,1.0,False
1.0,0.001,trajectory,15,2,0.9333333333333333,0.5,0.09452865480086611,0.905471345199134,False,0.9333333333333333,1.0,0.3423719528896193,1.0,False,0.4666666666666667,0.0,0.0,0.6576280471103807,False,1.0,1.0,0.3423719528896193,1.0,False
