condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
none,0,120000,-84.16666666666667,-177.95777777777778,916,32.97132754325867,-497.5,-494.76666666666665,-298.8666666666667,-153.1,-133.6,-150.76666666666668,-140.56666666666666,-118.4,-112.0,-110.8,-93.96666666666667,-93.7,-92.3,-90.93333333333334,-88.1
none,1,120000,-82.4,-118.86666666666666,1184,32.60874676704407,-391.2,-149.9,-125.9,-112.4,-108.4,-95.83333333333333,-96.6,-93.6,-83.7,-96.03333333333333,-91.83333333333333,-86.26666666666667,-83.2,-88.33333333333333,-79.8
none,2,120000,-92.4,-146.1822222222222,1079,31.726576328277588,-479.0,-390.3666666666667,-155.36666666666667,-121.4,-106.8,-102.23333333333333,-100.06666666666666,-98.7,-104.83333333333333,-94.96666666666667,-94.46666666666667,-86.13333333333334,-83.4,-82.93333333333334,-92.06666666666666
none,3,120000,-81.73333333333333,-181.8266666666667,989,30.436391592025757,-500.0,-500.0,-494.7,-165.16666666666666,-98.53333333333333,-117.06666666666666,-111.43333333333334,-122.56666666666666,-92.76666666666667,-95.33333333333333,-83.43333333333334,-88.13333333333334,-89.76666666666667,-85.73333333333333,-82.76666666666667
none,4,120000,-81.53333333333333,-114.16698412698412,1128,29.40176558494568,-284.07142857142856,-126.66666666666667,-108.93333333333334,-101.53333333333333,-103.5,-100.4,-106.8,-101.33333333333333,-104.06666666666666,-105.56666666666666,-107.9,-92.96666666666667,-98.8,-88.63333333333334,-81.33333333333333
discovered,0,120000,-84.7,-90.7111111111111,1303,40.53460073471069,-133.93333333333334,-99.83333333333333,-92.46666666666667,-93.66666666666667,-96.53333333333333,-94.6,-79.56666666666666,-90.6,-90.9,-79.2,-81.5,-83.53333333333333,-84.86666666666666,-80.73333333333333,-78.73333333333333
discovered,1,120000,-80.36666666666666,-89.47777777777779,1315,42.87893271446228,-136.23333333333332,-93.96666666666667,-93.26666666666667,-90.76666666666667,-86.13333333333334,-87.3,-84.0,-87.43333333333334,-91.23333333333333,-84.26666666666667,-80.96666666666667,-81.6,-85.86666666666666,-81.13333333333334,-78.0
discovered,2,120000,-87.3,-95.94000000000001,1272,41.43510866165161,-160.8,-113.26666666666667,-89.76666666666667,-112.96666666666667,-104.73333333333333,-90.16666666666667,-85.76666666666667,-83.46666666666667,-85.6,-86.16666666666667,-85.06666666666666,-79.03333333333333,-87.16666666666667,-83.9,-91.23333333333333
discovered,3,120000,-81.9,-90.69555555555556,1318,43.49967074394226,-148.53333333333333,-108.6,-92.53333333333333,-88.33333333333333,-81.96666666666667,-82.7,-92.26666666666667,-85.03333333333333,-78.4,-83.0,-86.23333333333333,-80.06666666666666,-91.2,-80.16666666666667,-81.4
discovered,4,120000,-88.43333333333334,-89.69555555555556,1302,44.699034214019775,-129.4,-95.4,-93.26666666666667,-91.76666666666667,-83.86666666666666,-81.1,-84.83333333333333,-87.46666666666667,-84.16666666666667,-86.46666666666667,-94.0,-84.83333333333333,-80.43333333333334,-85.8,-82.63333333333334
faulty_m2_1.1,0,120000,-85.43333333333334,-88.9511111111111,1316,44.78972363471985,-124.3,-95.93333333333334,-93.8,-86.26666666666667,-96.53333333333333,-84.46666666666667,-88.33333333333333,-83.5,-82.93333333333334,-77.83333333333333,-79.53333333333333,-88.06666666666666,-82.36666666666666,-84.66666666666667,-85.73333333333333
faulty_m2_1.1,1,120000,-85.7,-89.83555555555556,1333,43.03166842460632,-133.46666666666667,-105.9,-89.13333333333334,-85.46666666666667,-84.3,-91.43333333333334,-80.86666666666666,-87.93333333333334,-84.26666666666667,-87.76666666666667,-83.83333333333333,-84.6,-86.76666666666667,-81.3,-80.5
faulty_m2_1.1,2,120000,-83.23333333333333,-91.32666666666665,1323,43.22794842720032,-124.76666666666667,-90.73333333333333,-114.33333333333333,-102.56666666666666,-91.03333333333333,-87.56666666666666,-80.66666666666667,-80.93333333333334,-84.13333333333334,-84.3,-82.4,-88.33333333333333,-86.56666666666666,-88.23333333333333,-83.33333333333333
faulty_m2_1.1,3,120000,-84.5,-92.61333333333333,1290,42.82304620742798,-144.9,-113.06666666666666,-99.63333333333334,-86.0,-88.5,-91.43333333333334,-80.93333333333334,-87.56666666666666,-88.4,-81.93333333333334,-89.76666666666667,-89.46666666666667,-80.7,-81.63333333333334,-85.26666666666667
faulty_m2_1.1,4,120000,-79.6,-91.27555555555556,1311,40.41935634613037,-150.33333333333334,-111.56666666666666,-93.56666666666666,-90.5,-81.56666666666666,-85.16666666666667,-85.33333333333333,-87.1,-82.96666666666667,-78.86666666666666,-84.13333333333334,-87.63333333333334,-87.16666666666667,-82.86666666666666,-80.36666666666666
faulty_m2_1.3,0,120000,-81.93333333333334,-90.52000000000001,1311,45.323440074920654,-124.03333333333333,-91.73333333333333,-99.53333333333333,-85.16666666666667,-91.43333333333334,-82.13333333333334,-86.43333333333334,-93.93333333333334,-79.9,-85.2,-84.86666666666666,-84.36666666666666,-92.63333333333334,-94.96666666666667,-81.46666666666667
faulty_m2_1.3,1,120000,-84.7,-87.0422222222222,1341,51.221025228500366,-111.43333333333334,-95.83333333333333,-99.16666666666667,-88.5,-80.56666666666666,-83.93333333333334,-80.06666666666666,-87.63333333333334,-84.3,-84.23333333333333,-83.93333333333334,-83.03333333333333,-81.33333333333333,-80.36666666666666,-81.3
faulty_m2_1.3,2,120000,-86.86666666666666,-87.07111111111112,1356,49.88767600059509,-121.96666666666667,-86.33333333333333,-87.13333333333334,-82.3,-97.23333333333333,-85.06666666666666,-82.46666666666667,-82.06666666666666,-85.56666666666666,-81.63333333333334,-79.1,-79.2,-82.13333333333334,-86.76666666666667,-87.1
faulty_m2_1.3,3,120000,-82.46666666666667,-90.73111111111112,1327,44.32651114463806,-136.03333333333333,-103.96666666666667,-88.96666666666667,-88.5,-86.73333333333333,-82.73333333333333,-81.66666666666667,-88.8,-85.5,-84.56666666666666,-82.26666666666667,-99.43333333333334,-81.66666666666667,-87.3,-82.83333333333333
