condition,n_seeds,final_return_mean,final_return_sd,auc_mean,auc_sd,p_vs_none,p_vs_discovered,auc_diff_vs_discovered,auc_diff_vs_discovered_lo,auc_diff_vs_discovered_hi,auc_diff_vs_none,auc_diff_vs_none_lo,auc_diff_vs_none_hi,potential_spread,increment_spread,aggregation,n_draws,auc_draw_min,auc_draw_max,final_draw_min,final_draw_max
none,5,-84.44666666666667,4.083440814911966,-147.80006349206352,28.41914968590266,nan,0.007936507936507936,-56.49606349206351,-81.59955555555555,-31.882730158730155,0.0,-33.5851428571429,34.53611587301574,nan,nan,,,,,,
discovered,5,-84.53999999999999,3.0720532402793927,-91.304,2.372188820998268,0.007936507936507936,nan,0.0,-2.8968888888889097,2.896911111111131,56.49606349206351,31.498412698412707,81.77493333333337,5.753057018291339,0.7478914947274565,,,,,,
faulty_m2_1.1,5,-83.69333333333334,2.2213509403063747,-90.80044444444445,1.2759506937336982,0.007936507936507936,0.8412698412698413,0.5035555555555504,-1.5444444444444518,3.0711111111110942,56.99961904761906,31.937460317460307,82.13377777777781,6.07029724763584,0.7886424915992838,,,,,,
faulty_m2_1.3,5,-85.29333333333334,3.137401614216592,-88.636,1.6493077635072997,0.007936507936507936,0.2222222222222222,2.6680000000000064,0.3523888888888888,5.341344444444464,59.16406349206352,34.17058571428569,84.46637777777777,6.711345340105237,0.9038762234193605,,,,,,
faulty_m2_2,5,-89.13333333333334,5.3880526269804685,-90.768,1.8646526701364283,0.007936507936507936,0.6904761904761905,0.5360000000000014,-1.9920777777777818,3.1766777777777726,57.032063492063514,32.05156031746031,82.25443333333334,8.99919449847103,1.4941768826665465,,,,,,
faulty_m2_4,5,-88.14000000000001,4.041528863630146,-100.492,5.996158539812625,0.007936507936507936,0.015873015873015872,-9.188000000000002,-15.239555555555555,-4.029677777777782,47.30806349206351,22.663682539682526,72.49422222222222,15.683022483877577,3.5439353830885834,,,,,,
random_0,5,-89.44000000000001,5.911247283310386,-149.11330434503768,51.520395751878866,0.8412698412698413,0.007936507936507936,-57.809304345037674,-109.71912507936509,-27.663574875741542,-1.313240852974161,-56.94470187590188,43.64081782587782,5.753056979024813,3.9961629850489295,,,,,,
randstep_0,5,-85.46666666666667,2.5429641497014175,-148.9947798573975,24.86450471041084,0.8412698412698413,0.007936507936507936,-57.6907798573975,-80.4054695781343,-37.30125029708852,-1.1947163653339885,-34.056158008658,31.08828877005348,1.0766984228103025,0.7478914947274565,,,,,,
random_1,5,-93.38,6.16576930407805,-169.08143567251463,52.08945348200469,0.6904761904761905,0.007936507936507936,-77.77743567251463,-130.3690134502924,-46.53780994152048,-21.281372180451115,-78.23441092314118,23.254971261487054,5.753056979024813,4.01652069262091,,,,,,
randstep_1,5,-83.46,2.9868898726118296,-142.3955368421053,14.094845996343711,0.8412698412698413,0.007936507936507936,-51.091536842105285,-63.74934093567252,-39.20055391812869,5.404526649958228,-21.14810875522139,32.84922128654973,1.0712411842418434,0.7478914947274565,,,,,,
