dt,LINK_LENGTH_1,LINK_LENGTH_2,LINK_MASS_1,LINK_MASS_2,LINK_COM_POS_1,LINK_COM_POS_2,LINK_MOI,MAX_VEL_1,MAX_VEL_2,book_or_nips,torque_noise_max,AVAIL_TORQUE,_source_sha256,_source_lines,mutation,package,version,env_id,python,numpy,n_traj,n_steps,ic_seed,tag,tau,gravity,masscart,masspole,total_mass,length,polemass_length,force_mag,kinematics_integrator,theta_threshold_radians,x_threshold,frame_skip,min_position,max_position,max_speed,goal_position,force,power,g,m,l,max_torque
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",5cdb5a3eac9aa5ba460653215c83ba7c3a50e8524d28f162823f7bb6da096f33,319,,gym,0.23.1,Acrobot-v1,3.10.20,1.23.5,8,500,12345,gym-0.23.1,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",a0859ebfa447c06506a56d9fa0bfaf2dd7a9363b404512dd85c101c274317281,358,,gym,0.25.2,Acrobot-v1,3.10.20,1.23.5,8,500,12345,gym-0.25.2,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",d97641bf4ead8067a0c44671f52262a448684e515ec5d4b238fb4f4e3429fb1b,350,,gym,0.26.2,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gym-0.26.2,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",aff105e5aa109d41f1ecb3a74e0eeee80ba815764fd9a9b8cfedcb2983289fbb,353,,gymnasium,0.26.3,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-0.26.3,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",c3c4c6b2db367668c2a91ca8138390fa89d2068069760486d70c9fe475878f50,354,,gymnasium,0.27.1,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-0.27.1,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",a41cb0d21146e64550da6fd6afc18c782132a1f8a88f69f1bcab7f3fb349d65d,354,,gymnasium,0.28.1,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-0.28.1,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",a41cb0d21146e64550da6fd6afc18c782132a1f8a88f69f1bcab7f3fb349d65d,354,,gymnasium,0.29.1,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-0.29.1,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",4355b46c8b2729ae37132e9d1fa422d38952af8083099f9711185bbf1d36b3c7,351,,gymnasium,1.0.0,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-1.0.0,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",4355b46c8b2729ae37132e9d1fa422d38952af8083099f9711185bbf1d36b3c7,351,,gymnasium,1.1.1,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-1.1.1,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",da2cd974e2d0ed78aa54014df8f16d9ad7dd473901200f2493df73771ad4e95e,351,,gymnasium,1.2.3,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-1.2.3,,,,,,,,,,,,,,,,,,,,,,
0.2,1.0,1.0,1.0,1.0,0.5,0.5,1.0,12.566370614359172,28.274333882308138,book,0.0,"[-1.0, 0.0, 1]",55c1959df6287647373b4ce663b6fcbe59d99cf7d178ff1b6449c8482bbc2bae,348,,gymnasium,1.3.0,Acrobot-v1,3.10.20,1.26.4,8,500,12345,gymnasium-1.3.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,be64f634374a3657d20326ac19b82a17f7ba43f56c5dea561b10f20f038d67ff,257,,gym,0.23.1,CartPole-v1,3.10.20,1.23.5,8,500,12345,gym-0.23.1,0.02,9.8,1.0,0.1,1.1,0.5,0.05,10.0,euler,0.20943951023931953,2.4,,,,,,,,,,,
